antecedents,consequents,support,confidence,lift,leverage,antecedent_len,consequent_len
var161:No,"ant_inf:No, ant_isq:No",0.24459090909090908,0.977830274395784,1.074163181540283,0.016887229338842957,1,2
var161:No,"ant_inf:No, fr_cance:No",0.1930909090909091,0.7719425767763037,1.084604463474178,0.015062037190082617,1,2
var161:No,"ant_isq:No, fr_cance:No",0.19213636363636363,0.7681264764673813,1.081245280074374,0.01443721694214875,1,2
fr_cance:Sí,"fr_antfa:No, var161:Missing",0.19440909090909092,0.768139367816092,1.078021567488774,0.01407031404958678,1,2
var161:No,"ant_clau:No, ant_inf:No",0.24627272727272728,0.9845538797019807,1.0586083453127206,0.013634539256198341,1,2
var161:No,"ant_clau:No, ant_isq:No",0.24572727272727274,0.9823732509540251,1.0562636978147966,0.013089084710743798,1,2
var161:No,"ant_inf:No, fr_antfa:No",0.24509090909090908,0.9798291840814101,1.055281835305773,0.01283929545454543,1,2
var161:No,"ant_isq:No, fr_antfa:No",0.24486363636363637,0.9789205887697618,1.0525513392764168,0.012225448347107426,1,2
var161:No,"ant_clau:No, fr_cance:No",0.19390909090909092,0.7752135198982373,1.0653858969116206,0.011900776859504136,1,2
fr_cance:Sí,"fr_embar:No, var161:Missing",0.19622727272727272,0.775323275862069,1.0640743648762019,0.011816033057851227,1,2
fr_cance:Sí,"e_con_pr:No, var161:Missing",0.19577272727272726,0.7735272988505747,1.0635335650717233,0.011695107438016522,1,2
fr_cance:Sí,"fr_antec:No, var161:Missing",0.1960909090909091,0.7747844827586207,1.0629370554184119,0.01161064462809916,1,2
fr_cance:Sí,"e_con_ar:No, var161:Missing",0.19440909090909092,0.768139367816092,1.0630349180319574,0.011527900826446308,1,2
fr_cance:Sí,"e_con_ec:No, var161:Missing",0.19590909090909092,0.7740660919540231,1.0612896686394435,0.011313785123966968,1,2
var161:No,"fr_antfa:No, fr_cance:No",0.19290909090909092,0.7712157005269853,1.0618816755284564,0.011241871900826428,1,2
fr_cance:Sí,"e_con_va:No, var161:Missing",0.1958181818181818,0.7737068965517241,1.06079719083497,0.011222876033057855,1,2
fr_cance:Sí,"ant_isq:No, var161:Missing",0.18531818181818183,0.732219827586207,1.0643433238781996,0.011203140495867764,1,2
fr_cance:Sí,"e_con_lu:No, var161:Missing",0.19613636363636364,0.7749640804597702,1.0602083060826406,0.01113841322314052,1,2
fr_cance:Sí,"e_con_sm:No, var161:Missing",0.19618181818181818,0.7751436781609196,1.0599925981812675,0.011103338842975208,1,2
fr_cance:Sí,"e_con_av:No, var161:Missing",0.19627272727272727,0.7755028735632183,1.059825022884259,0.01107920661157022,1,2
fr_cance:Sí,"e_con_at:No, var161:Missing",0.19618181818181818,0.7751436781609196,1.0597949735591468,0.011068826446280988,1,2
fr_cance:Sí,"e_con_be:No, var161:Missing",0.19627272727272727,0.7755028735632183,1.0596933676019133,0.011056198347107443,1,2
fr_cance:Sí,"e_con_cu:No, var161:Missing",0.19577272727272726,0.7735272988505747,1.0596264367816093,0.01101636363636363,1,2
fr_cance:Sí,"e_con_ro:No, var161:Missing",0.19627272727272727,0.7755028735632183,1.059364372455188,0.010998677685950392,1,2
fr_cance:Sí,"e_con_af:No, var161:Missing",0.19622727272727272,0.775323275862069,1.0591848030902582,0.010964727272727265,1,2
"fr_antec:No, fr_cance:Sí",var161:Missing,0.1960909090909091,0.7756202804746494,1.0591959137456415,0.010959049586776848,2,1
fr_cance:Sí,"e_con_ea:No, var161:Missing",0.19595454545454546,0.7742456896551725,1.059225494211417,0.010956595041322348,1,2
var161:No,"ant_inf:No, e_con_ar:No",0.24622727272727274,0.984372160639651,1.046546539123004,0.01095128305785123,1,2
"e_con_av:No, fr_cance:Sí",var161:Missing,0.19627272727272727,0.7755028735632183,1.059035581526431,0.010941157024793369,2,1
"e_con_be:No, fr_cance:Sí",var161:Missing,0.19627272727272727,0.7755028735632183,1.059035581526431,0.010941157024793369,2,1
fr_cance:Sí,var161:Missing,0.19627272727272727,0.7755028735632183,1.059035581526431,0.010941157024793369,1,1
"e_con_ro:No, fr_cance:Sí",var161:Missing,0.19627272727272727,0.7755028735632183,1.059035581526431,0.010941157024793369,2,1
"e_con_lu:No, fr_cance:Sí",var161:Missing,0.19613636363636364,0.7755212077641984,1.059060618920693,0.010937933884297507,2,1
"e_con_af:No, fr_cance:Sí",var161:Missing,0.19622727272727272,0.7754625471528651,1.0589805113198654,0.010928987603305795,2,1
"fr_cance:Sí, fr_embar:No",var161:Missing,0.19622727272727272,0.7754625471528651,1.0589805113198654,0.010928987603305795,2,1
"e_con_va:No, fr_cance:Sí",var161:Missing,0.1958181818181818,0.7755175517551754,1.0590556262330142,0.010919318181818155,2,1
"e_con_sm:No, fr_cance:Sí",var161:Missing,0.19618181818181818,0.7754222062522458,1.058925421325227,0.010916818181818166,2,1
"e_con_at:No, fr_cance:Sí",var161:Missing,0.19618181818181818,0.7754222062522458,1.058925421325227,0.010916818181818166,2,1
"e_con_ea:No, fr_cance:Sí",var161:Missing,0.19595454545454546,0.7753597122302158,1.0588400787749688,0.010889256198347103,2,1
ant_inf:Sí,"fr_estro:No, var161:Missing",0.04481818181818182,0.9121184088806661,1.3206927073433365,0.010882822314049592,1,2
"fr_cance:Sí, fr_cirug:No",var161:Missing,0.17154545454545456,0.7818520820385333,1.0677061331376618,0.010878161157024807,2,1
"e_con_ec:No, fr_cance:Sí",var161:Missing,0.19590909090909092,0.7751798561151079,1.0585944652099548,0.01084380165289256,2,1
"e_con_pr:No, fr_cance:Sí",var161:Missing,0.19577272727272726,0.775197984161267,1.0586192210768388,0.01084057851239667,2,1
"e_con_cu:No, fr_cance:Sí",var161:Missing,0.19577272727272726,0.7750584847939536,1.0584287191475468,0.010807293388429728,2,1
"fr_antfa:No, fr_cance:Sí",var161:Missing,0.19440909090909092,0.774538210793191,1.0577182270298076,0.010608636363636376,2,1
"e_con_ar:No, fr_cance:Sí",var161:Missing,0.19440909090909092,0.7742577842143374,1.0573352732908394,0.010542066115702492,2,1
var161:No,"ant_isq:No, e_con_ar:No",0.246,0.9834635653280028,1.0441676771013013,0.01040565495867768,1,2
ant_inf:Sí,"fr_antfa:No, var161:Missing",0.045409090909090906,0.9241443108233116,1.2969619059781101,0.01039719834710743,1,2
var161:No,"ant_inf:No, e_con_pr:No",0.24677272727272728,0.9865527893876067,1.043068116422883,0.010189206611570245,1,2
ant_isq:Sí,"fr_estro:No, var161:Missing",0.04309090909090909,0.8994307400379506,1.3023217244198313,0.01000314876033058,1,2
